Elements,sma,sma_rate,e,e_rate,i,i_rate,raan,raan_rate,long_peri,long_peri_rate,mean_long,mean_long_rate
Units,AU,AU/Cy,None,1/Cy,deg,deg/Cy,deg,deg/Cy,deg,deg/Cy,deg,deg/Cy
Planet,,,,,,,,,,,,
mercury,0.38709927,3.70E-07,0.20563593,1.91E-05,7.00497902,-0.00594749,48.33076593,-0.12534081,77.45779628,0.16047689,252.2503235,149472.6741
venus,0.72333566,3.90E-06,0.00677672,-4.11E-05,3.39467605,-0.0007889,76.67984255,-0.27769418,131.6024672,0.00268329,181.9790995,58517.81539
earth,1.00000261,5.62E-06,0.01671123,-4.39E-05,-1.53E-05,-0.01294668,0,0,102.9376819,0.32327364,100.4645717,35999.37245
mars,1.52371034,0.0001847,0.0933941,7.88E-05,1.84969142,-0.00813131,49.55953891,-0.29257343,-23.94362959,0.44441088,-4.55343205,19140.30268
jupiter,5.202887,-0.00011607,0.04838624,-0.00013253,1.30439695,-0.00183714,100.4739091,0.20469106,14.72847983,0.21252668,34.39644501,3034.746128
saturn,9.53667594,-0.0012506,0.05386179,-0.00050991,2.48599187,0.00193609,113.6624245,-0.28867794,92.59887831,-0.41897216,49.95424423,1222.493622
uranus,19.18916464,-0.00196176,0.04725744,-4.40E-05,0.77263783,-0.00242939,74.01692503,0.04240589,170.9542763,0.40805281,313.2381045,428.4820279
neptune,30.06992276,0.00026291,0.00859048,5.11E-05,1.77004347,0.00035372,131.7842257,-0.00508664,44.96476227,-0.32241464,-55.12002969,218.4594533
pluto,39.48211675,-0.00031596,0.2488273,5.17E-05,17.14001206,4.82E-05,110.3039368,-0.01183482,224.0689163,-0.04062942,238.9290383,145.2078052
