Elements,sma,sma_rate,e,e_rate,i,i_rate,raan,raan_rate,long_peri,long_peri_rate,mean_long,mean_long_rate,b,c,s,f
Units,AU,AU/Cy,None,1/Cy,deg,deg/Cy,deg,deg/Cy,deg,deg/Cy,deg,deg/Cy,deg/Cy^2,deg,deg,deg/Cy
Planet,,,,,,,,,,,,,,,,
mercury,0.38709843,0,0.20563661,2.12E-05,7.00559432,-0.00590158,252.2516672,149472.6749,77.45771895,0.15940013,48.33961819,-0.12214182,0.00E+00,0.00E+00,0.00E+00,0.00E+00
venus,0.72332102,-2.60E-07,0.00676399,-5.11E-05,3.39777545,0.00043494,181.9797085,58517.8156,131.7675571,0.05679648,76.67261496,-0.27274174,0.00E+00,0.00E+00,0.00E+00,0.00E+00
earth,1.00000018,-3.00E-08,0.01673163,-3.66E-05,-0.00054346,-0.01337178,100.4669157,35999.37306,102.9300589,0.3179526,-5.11260389,-0.24123856,0.00E+00,0.00E+00,0.00E+00,0.00E+00
mars,1.52371243,9.70E-07,0.09336511,9.15E-05,1.85181869,-0.00724757,-4.56813164,19140.29934,-23.91744784,0.45223625,49.71320984,-0.26852431,0.00E+00,0.00E+00,0.00E+00,0.00E+00
jupiter,5.20248019,-2.86E-05,0.0485359,0.00018026,1.29861416,-0.00322699,34.33479152,3034.903718,14.27495244,0.18199196,100.2928265,0.13024619,-1.25E-04,6.06E-02,-3.56E-01,3.84E+01
saturn,9.54149883,-3.07E-05,0.05550825,-0.00032044,2.49424102,0.00451969,50.07571329,1222.114947,92.86136063,0.54179478,113.639987,-0.25015002,2.59E-04,-1.34E-01,8.73E-01,3.84E+01
uranus,19.18797948,-0.00020455,0.0468574,-1.55E-05,0.77298127,-0.00180155,314.2027663,428.495126,172.4340444,0.09266985,73.96250215,0.05739699,5.83E-04,-9.77E-01,1.77E-01,7.67E+00
neptune,30.06952752,6.45E-05,0.00895439,8.18E-06,1.7700552,0.000224,304.2228929,218.4651531,46.68158724,0.01009938,131.7863585,-0.00606302,-4.13E-04,6.83E-01,-1.02E-01,7.67E+00
pluto,39.48686035,0.00449751,0.24885238,6.02E-05,17.1410426,5.01E-06,238.9653501,145.180429,224.097026,-0.00968827,110.3016799,-0.00809981,-1.26E-02,0.00E+00,0.00E+00,0.00E+00
